"vendor_name","pickup_datetime","dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","rate_code","store_and_fwd","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","total_amount","improvement_surcharge","congestion_surcharge","pickup_location_id","dropoff_location_id","month"
,2021-01-30 18:23:00.000,2021-01-30 18:35:00.000,,2.63,,,,,,,,12.41,0,0.5,2.79,0,16,0.3,0,35,39,1
"VTS",2021-01-06 16:10:21.000,2021-01-06 16:30:56.000,2,4.96,,,"Standard rate","No",,,"Credit card",18.5,1,0.5,4.56,0,27.36,0.3,2.5,161,209,1
"CMT",2021-01-07 17:13:06.000,2021-01-07 17:32:41.000,1,2.1,,,"Standard rate","No",,,"Credit card",13.5,1,0.5,4.55,0,19.85,0.3,0,75,166,1
"VTS",2021-01-10 15:01:46.000,2021-01-10 15:22:57.000,1,5.54,,,"Standard rate","No",,,"Credit card",20,0,0.5,4.66,0,27.96,0.3,2.5,75,107,1
"CMT",2021-01-09 18:32:25.000,2021-01-09 18:50:38.000,1,4.5,,,"Standard rate","No",,,"Cash",16.5,3.5,0.5,0,0,20.8,0.3,2.5,234,146,1
"VTS",2021-01-22 07:19:44.000,2021-01-23 06:56:44.000,1,5.21,,,"Standard rate","No",,,"Credit card",20,0,0.5,4.66,0,27.96,0.3,2.5,142,231,1
"VTS",2021-01-06 20:24:48.000,2021-01-06 20:30:42.000,1,1.69,,,"Standard rate","No",,,"Credit card",7,0.5,0.5,2.16,0,12.96,0.3,2.5,90,50,1
"VTS",2021-01-04 09:46:54.000,2021-01-04 10:01:13.000,1,2.82,,,"Standard rate","No",,,"Credit card",12.5,0,0.5,0,0,15.8,0.3,2.5,79,186,1
"VTS",2021-01-11 14:47:12.000,2021-01-11 15:01:51.000,1,3.24,,,"Standard rate","No",,,"Credit card",13,0,0.5,0,0,16.3,0.3,2.5,233,125,1
"VTS",2021-01-13 15:51:36.000,2021-01-13 16:07:46.000,1,3.8,,,"Standard rate","No",,,"Credit card",14,0,0.5,4.32,0,21.62,0.3,2.5,107,262,1
"VTS",2021-01-28 18:53:30.000,2021-01-28 19:00:16.000,1,1.48,,,"Standard rate","No",,,"Credit card",7,1,0.5,2.26,0,13.56,0.3,2.5,162,234,1
"VTS",2021-01-22 05:41:29.000,2021-01-22 05:45:42.000,1,0.77,,,"Standard rate","No",,,"Cash",5,0.5,0.5,0,0,8.8,0.3,2.5,186,68,1
"CMT",2021-01-08 06:56:01.000,2021-01-08 07:04:54.000,1,2.5,,,"Standard rate","No",,,"Credit card",9.5,2.5,0.5,2.55,0,15.35,0.3,2.5,140,161,1
"CMT",2021-01-27 14:12:32.000,2021-01-27 14:17:03.000,1,1.1,,,"Standard rate","No",,,"Credit card",6,2.5,0.5,2,0,11.3,0.3,2.5,224,233,1
"VTS",2021-01-03 11:45:57.000,2021-01-03 11:48:42.000,1,1.03,,,"Standard rate","No",,,"Credit card",5,0,0.5,1,0,9.3,0.3,2.5,113,234,1
"VTS",2021-01-08 15:55:18.000,2021-01-08 16:06:12.000,2,1.86,,,"Standard rate","No",,,"Cash",9.5,0,0.5,0,0,12.8,0.3,2.5,238,263,1
"CMT",2021-01-28 13:38:59.000,2021-01-28 13:43:33.000,1,0.5,,,"Standard rate","No",,,"Cash",5,2.5,0.5,0,0,8.3,0.3,2.5,113,79,1
"VTS",2021-01-31 21:17:17.000,2021-01-31 21:26:16.000,2,2.69,,,"Standard rate","No",,,"Cash",9.5,0.5,0.5,0,0,13.3,0.3,2.5,263,170,1
"VTS",2021-01-08 14:32:28.000,2021-01-08 14:37:22.000,1,0.72,,,"Standard rate","No",,,"Credit card",5,0,0.5,2.08,0,10.38,0.3,2.5,170,161,1
"CMT",2021-01-29 15:36:52.000,2021-01-29 15:50:40.000,1,0.6,,,"Standard rate","No",,,"Credit card",9.5,2.5,0.5,5,0,17.8,0.3,2.5,186,246,1
"VTS",2021-01-28 20:12:27.000,2021-01-28 20:21:05.000,1,2.06,,,"Standard rate","No",,,"Credit card",9,0.5,0.5,2.56,0,15.36,0.3,2.5,142,186,1
"VTS",2021-01-30 21:03:16.000,2021-01-30 21:12:54.000,1,2.19,,,"Standard rate","No",,,"Credit card",9,0.5,0.5,0.64,0,13.44,0.3,2.5,114,87,1
"CMT",2021-01-30 10:43:36.000,2021-01-30 10:56:57.000,1,2.8,,,"Standard rate","No",,,"Credit card",12,2.5,0.5,3.8,0,19.1,0.3,2.5,140,151,1
"VTS",2021-01-10 15:19:18.000,2021-01-10 15:48:00.000,2,18.91,,,"JFK","No",,,"Credit card",52,0,0.5,9.21,6.12,70.63,0.3,2.5,132,236,1
"CMT",2021-01-05 14:17:38.000,2021-01-05 14:29:58.000,1,2.3,,,"Standard rate","No",,,"Credit card",10.5,2.5,0.5,2.75,0,16.55,0.3,2.5,234,237,1
"CMT",2021-01-07 17:10:44.000,2021-01-07 17:57:40.000,3,20.6,,,"JFK","No",,,"Credit card",52,7,0.5,13.15,6.12,79.07,0.3,2.5,132,238,1
"VTS",2021-01-25 08:33:06.000,2021-01-25 08:40:38.000,1,1.26,,,"Standard rate","No",,,"Credit card",7.5,0,0.5,2,0,12.8,0.3,2.5,239,151,1
"VTS",2021-01-16 17:08:10.000,2021-01-16 17:15:39.000,1,2.44,,,"Standard rate","No",,,"Cash",9,0,0.5,0,0,12.3,0.3,2.5,233,262,1
"CMT",2021-01-08 14:20:39.000,2021-01-08 14:35:18.000,0,3.1,,,"Standard rate","No",,,"Credit card",12.5,2.5,0.5,1,0,16.8,0.3,2.5,162,158,1
"VTS",2021-01-16 16:06:34.000,2021-01-16 16:13:06.000,1,1.01,,,"Standard rate","No",,,"Credit card",6.5,0,0.5,1.96,0,11.76,0.3,2.5,262,141,1
"VTS",2021-01-06 15:22:42.000,2021-01-06 15:28:40.000,3,0.77,,,"Standard rate","No",,,"Credit card",6,0,0.5,1.86,0,11.16,0.3,2.5,170,234,1
"CMT",2021-01-05 17:11:54.000,2021-01-05 17:15:55.000,1,1,,,"Standard rate","No",,,"Credit card",5.5,3.5,0.5,2.45,0,12.25,0.3,2.5,142,239,1
"VTS",2021-01-29 07:44:56.000,2021-01-29 07:52:08.000,3,1.15,,,"Standard rate","No",,,"Credit card",7,0,0.5,1.03,0,11.33,0.3,2.5,163,236,1
"CMT",2021-01-16 15:19:15.000,2021-01-16 15:22:00.000,1,0.7,,,"Standard rate","No",,,"Credit card",4.5,2.5,0.5,1.95,0,9.75,0.3,2.5,142,48,1
"VTS",2021-01-07 17:33:35.000,2021-01-07 17:39:37.000,1,1.21,,,"Standard rate","No",,,"Credit card",6.5,1,0.5,2.16,0,12.96,0.3,2.5,238,75,1
"VTS",2021-01-06 14:12:13.000,2021-01-06 14:18:44.000,1,1.36,,,"Standard rate","No",,,"Credit card",7,0,0.5,2,0,12.3,0.3,2.5,170,234,1
"VTS",2021-01-24 14:01:23.000,2021-01-24 14:04:23.000,2,0.84,,,"Standard rate","No",,,"Cash",4.5,0,0.5,0,0,5.3,0.3,0,162,170,1
"VTS",2021-01-22 08:15:37.000,2021-01-22 08:22:43.000,2,1.28,,,"Standard rate","No",,,"Credit card",7,0,0.5,2.06,0,12.36,0.3,2.5,151,239,1
"VTS",2021-01-06 09:56:31.000,2021-01-06 10:05:02.000,1,1.4,,,"Standard rate","No",,,"Credit card",8,0,0.5,2.26,0,13.56,0.3,2.5,238,236,1
"CMT",2021-01-29 22:16:33.000,2021-01-29 22:19:43.000,1,0.8,,,"Standard rate","No",,,"Credit card",4.5,3,0.5,2.45,0,10.75,0.3,2.5,163,48,1
"VTS",2021-01-28 14:52:36.000,2021-01-28 14:57:36.000,1,0.98,,,"Standard rate","No",,,"Credit card",5.5,0,0.5,1,0,9.8,0.3,2.5,141,236,1
"CMT",2021-01-13 12:19:09.000,2021-01-13 12:43:03.000,1,0,,,"Standard rate","No",,,"Credit card",26.2,0,0.5,0,0,27,0.3,0,140,97,1
